Series,Year,Purchases
Fresh and processed fruit,1994,112.3832081458
Bread,1994,74.9509751675
Flour,1994,2.7151009564
"Cakes, buns and pastries",1994,50.098584755
Biscuits and crispbreads,1994,45.2537237962
Other cereals and cereal products,1994,98.2326979757
Beverages,1994,50.0842250257
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1994,77.5429559137
Soft drinks,1994,47.837856513
Confectionery,1994,59.7740251442
Alcoholic drinks,1994,152.4365460904
Milk and milk products excluding cheese,1995,150.4072187071
Cheese,1995,48.8353227538
Carcase meat,1995,100.6084133027
Non-carcase meat and meat products,1995,301.3112086534
Fish,1995,75.0233473595
Eggs,1995,15.9329095561
Fats,1995,37.4707302905
Sugar and preserves,1995,20.0810590904
Fresh and processed potatoes,1995,110.2493931816
"Fresh and processed vegetables, excluding potatoes",1995,142.3158650661
Fresh and processed fruit,1995,117.6213354251
Bread,1995,75.7831295501
Flour,1995,2.4373940533
"Cakes, buns and pastries",1995,51.3597271459
Biscuits and crispbreads,1995,45.6667452755
Other cereals and cereal products,1995,118.445459409
Beverages,1995,51.2091068005
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1995,82.444897095
Soft drinks,1995,53.6207464009
Confectionery,1995,63.1978015039
Alcoholic drinks,1995,179.5789504817
Milk and milk products excluding cheese,1996,147.9614716275
Cheese,1996,53.2595770132
Carcase meat,1996,103.9966417007
Non-carcase meat and meat products,1996,320.663627182
Fish,1996,78.4401369509
Eggs,1996,16.9014331069
Fats,1996,40.6595809085
Sugar and preserves,1996,22.7403758057
Fresh and processed potatoes,1996,110.3731548686
"Fresh and processed vegetables, excluding potatoes",1996,148.9803180379
Fresh and processed fruit,1996,124.6326578576
Bread,1996,78.8304000952
Flour,1996,2.8078695792
"Cakes, buns and pastries",1996,56.2442535726
Biscuits and crispbreads,1996,53.0287307679
Other cereals and cereal products,1996,124.956279914
Beverages,1996,53.3407235454
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1996,87.5184861215
Soft drinks,1996,56.0104384973
Confectionery,1996,69.7485755277
Alcoholic drinks,1996,187.2922401212
Milk and milk products excluding cheese,1997,147.585821587
Cheese,1997,54.5160513997
Carcase meat,1997,104.7904242345
Non-carcase meat and meat products,1997,328.8485619608
Fish,1997,77.1647661169
Eggs,1997,16.2410065219
Fats,1997,38.4360229506
Sugar and preserves,1997,21.2153679093
Fresh and processed potatoes,1997,99.9277381936
"Fresh and processed vegetables, excluding potatoes",1997,152.2763337557
Fresh and processed fruit,1997,133.7862492448
Bread,1997,78.8527554318
Flour,1997,2.2405745473
"Cakes, buns and pastries",1997,58.828779993
Biscuits and crispbreads,1997,51.1258281596
Other cereals and cereal products,1997,130.0417721301
Beverages,1997,51.1064187254
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1997,94.2205593942
Soft drinks,1997,57.2134922171
Confectionery,1997,71.7624154172
Alcoholic drinks,1997,193.3720050421
Milk and milk products excluding cheese,1998,143.7639873488
Cheese,1998,51.0890999135
Carcase meat,1998,99.5066466061
Non-carcase meat and meat products,1998,331.6077318413
Fish,1998,79.3324137402
Eggs,1998,15.541383745
Fats,1998,36.8837906769
Sugar and preserves,1998,19.4363469136
Fresh and processed potatoes,1998,110.9177766697
"Fresh and processed vegetables, excluding potatoes",1998,155.1280160938
Fresh and processed fruit,1998,139.7393874971
Bread,1998,80.2086056318
Flour,1998,2.2591661653
"Cakes, buns and pastries",1998,57.2741299045
Biscuits and crispbreads,1998,49.9054119444
Other cereals and cereal products,1998,129.615301015
Beverages,1998,55.7232488317
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1998,95.5331462762
Soft drinks,1998,56.7079757355
Confectionery,1998,70.694266063
Alcoholic drinks,1998,211.4947669701
Milk and milk products excluding cheese,1999,141.2757319149
Cheese,1999,51.7234215272
Carcase meat,1999,98.463050502
Non-carcase meat and meat products,1999,327.0064071827
Fish,1999,82.5131829256
Eggs,1999,15.612539842
Fats,1999,35.5392912497
Sugar and preserves,1999,16.994004239
Fresh and processed potatoes,1999,112.6632746822
"Fresh and processed vegetables, excluding potatoes",1999,161.6636834872
Fresh and processed fruit,1999,142.7144549872
Bread,1999,79.5013018394
Flour,1999,2.4600884592
"Cakes, buns and pastries",1999,56.8076020626
Biscuits and crispbreads,1999,48.8097122864
Other cereals and cereal products,1999,135.5405051471
Beverages,1999,49.3189589084
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",1999,96.3183482729
Soft drinks,1999,60.588595602
Confectionery,1999,66.7567982682
Alcoholic drinks,1999,207.9500551785
Milk and milk products excluding cheese,2000,146.3594768715
Cheese,2000,53.9093571208
Carcase meat,2000,105.5552875311
Non-carcase meat and meat products,2000,338.0098652591
Fish,2000,81.0994262119
Eggs,2000,16.2020465997
Fats,2000,36.7050939
Sugar and preserves,2000,16.1956926426
Fresh and processed potatoes,2000,104.9431633766
"Fresh and processed vegetables, excluding potatoes",2000,159.7985663904
Fresh and processed fruit,2000,146.0450900216
Bread,2000,80.8365317448
Flour,2000,2.8996556664
"Cakes, buns and pastries",2000,58.5717475499
Biscuits and crispbreads,2000,52.0135201323
Other cereals and cereal products,2000,141.7036825593
Beverages,2000,49.5288860951
"Other food and drink (mineral water, baby food, soups, pickles, ice cream, salt, artificial sweeteners, spices, mayonnaise etc.)",2000,105.221037539
Soft drinks,2000,64.9463927222
Confectionery,2000,83.7589794615
Alcoholic drinks,2000,238.9424255691
